,tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
0,115+07298,AZ-347,NORTHBOUND,INDIAN RTE 1/CASA BLANCA RD,AZ,PINAL,85121,33.07245,-112.04406999999999,33.1234,-112.01746999999999,3.8416019999999995,5.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
1,115+07299,AZ-347,NORTHBOUND,BELTLINE RD/W RIGGS RD,AZ,PINAL,85121,33.1234,-112.01746999999999,33.21922,-111.98879,6.911296000000001,6.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
2,115+07300,AZ-347,NORTHBOUND,I-10,AZ,MARICOPA,85226,33.21922,-111.98879,33.2549,-111.9493,3.929607,7.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
3,115P07300,AZ-347,NORTHBOUND,I-10,AZ,MARICOPA,85226,33.2549,-111.9493,33.25611,-111.94708999999999,0.152597,8.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
4,115N07300,AZ-347,SOUTHBOUND,I-10,AZ,MARICOPA,85226,33.256240000000005,-111.94718999999999,33.25503,-111.9494,0.1526,3.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
5,115-07299,AZ-347,SOUTHBOUND,BELTLINE RD/W RIGGS RD,AZ,MARICOPA,85226,33.25503,-111.9494,33.219229999999996,-111.98902,3.940003,4.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
6,115-07298,AZ-347,SOUTHBOUND,INDIAN RTE 1/CASA BLANCA RD,AZ,PINAL,85121,33.219229999999996,-111.98902,33.123490000000004,-112.01768999999999,6.905722999999999,5.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
7,115-07297,AZ-347,SOUTHBOUND,AZ-238/W SMITH ENKE RD,AZ,PINAL,85121,33.123490000000004,-112.01768999999999,33.07245,-112.04431000000001,3.847756,6.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
8,115-04180,I-10,EASTBOUND,ELLIOT RD/EXIT 157,AZ,MARICOPA,85283,33.372659999999996,-111.96813,33.3533,-111.97138000000001,1.353587,432.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
9,115N04180,I-10,EASTBOUND,ELLIOT RD/EXIT 157,AZ,MARICOPA,85284,33.3533,-111.97138000000001,33.34415,-111.97237,0.635206,433.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
10,115-04179,I-10,EASTBOUND,WARNER RD/EXIT 158,AZ,MARICOPA,85044,33.34415,-111.97237,33.33835,-111.97235,0.400669,434.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
11,115N04179,I-10,EASTBOUND,WARNER RD/EXIT 158,AZ,MARICOPA,85284,33.33835,-111.97235,33.32936,-111.97233999999999,0.621031,435.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
12,115-04178,I-10,EASTBOUND,RAY RD/EXIT 159,AZ,MARICOPA,85044,33.32936,-111.97233999999999,33.325590000000005,-111.97237,0.26044,436.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
13,115N04178,I-10,EASTBOUND,RAY RD/EXIT 159,AZ,MARICOPA,85044,33.325590000000005,-111.97237,33.31491,-111.97241000000001,0.737807,437.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
14,115-04177,I-10,EASTBOUND,CHANDLER BLVD/EXIT 160,AZ,MARICOPA,85226,33.31491,-111.97241000000001,33.31095,-111.97238999999999,0.273646,438.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
15,115N04177,I-10,EASTBOUND,CHANDLER BLVD/EXIT 160,AZ,MARICOPA,85048,33.31095,-111.97238999999999,33.29995,-111.97249,0.632969,439.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
16,115N05165,I-10,EASTBOUND,PECOS RD/EXIT 161,AZ,MARICOPA,85226,33.29995,-111.97249,33.301790000000004,-111.97246000000001,0.260452,440.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
17,115-05165,I-10,EASTBOUND,PECOS RD/EXIT 161,AZ,MARICOPA,85226,33.301790000000004,-111.97246000000001,33.28853,-111.97131999999999,0.12712,440.001,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
18,115-04176,I-10,EASTBOUND,AZ-347/WILD HORSE PASS BLVD/EXIT 162,AZ,MARICOPA,85226,33.28853,-111.97131999999999,33.28349,-111.96936000000001,0.366605,441.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
19,115N04176,I-10,EASTBOUND,AZ-347/WILD HORSE PASS BLVD/EXIT 162,AZ,MARICOPA,85226,33.28349,-111.96936000000001,33.27561,-111.96394,0.628893,442.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
20,115-04175,I-10,EASTBOUND,QUEEN CREEK RD/EXIT 164,AZ,MARICOPA,85226,33.27561,-111.96394,33.260090000000005,-111.95196000000001,1.276054,443.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
21,115N04175,I-10,EASTBOUND,QUEEN CREEK RD/EXIT 164,AZ,MARICOPA,85226,33.260090000000005,-111.95196000000001,33.25096,-111.94488999999999,0.751406,444.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
22,115-04174,I-10,EASTBOUND,RIGGS RD/EXIT 167,AZ,MARICOPA,85226,33.25096,-111.94488999999999,33.22337,-111.92356000000001,2.269676,445.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
23,115N04174,I-10,EASTBOUND,RIGGS RD/EXIT 167,AZ,MARICOPA,85226,33.22337,-111.92356000000001,33.21591,-111.91781,0.613192,446.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
24,115-04173,I-10,EASTBOUND,AZ-587/CASA BLANCA RD/EXIT 175,AZ,PINAL,85121,33.21591,-111.91781,33.117490000000004,-111.84188999999999,8.09313,447.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
25,115N04173,I-10,EASTBOUND,AZ-587/CASA BLANCA RD/EXIT 175,AZ,PINAL,85121,33.117490000000004,-111.84188999999999,33.113659999999996,-111.83894,0.31485599999999997,448.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
26,115-04683,I-10,EASTBOUND,SACATON REST AREA,AZ,PINAL,85138,33.113659999999996,-111.83894,33.04588,-111.78679,5.570954,449.0,America/Phoenix,P3.4,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
27,115N04683,I-10,EASTBOUND,SACATON REST AREA,AZ,PINAL,85138,33.04588,-111.78679,33.0398,-111.78211,0.49986,450.0,America/Phoenix,P3.4,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
28,115-04682,I-10,EASTBOUND,AZ-387/EXIT 185,AZ,PINAL,85138,33.0398,-111.78211,33.00589,-111.75548,2.807086,451.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
29,115+04683,I-10,WESTBOUND,SACATON REST AREA,AZ,PINAL,85138,33.00711,-111.756,33.02426,-111.76926999999999,1.413051,1098.0,America/Phoenix,P3.4,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
30,115P04683,I-10,WESTBOUND,SACATON REST AREA,AZ,PINAL,85138,33.02426,-111.76926999999999,33.030359999999995,-111.77443000000001,0.5168560000000001,1099.0,America/Phoenix,P3.4,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
31,115+04173,I-10,WESTBOUND,AZ-587/CASA BLANCA RD/EXIT 175,AZ,PINAL,85138,33.030359999999995,-111.77443000000001,33.118759999999995,-111.84244,7.265776,1100.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
32,115P04173,I-10,WESTBOUND,AZ-587/CASA BLANCA RD/EXIT 175,AZ,PINAL,85121,33.118759999999995,-111.84244,33.1229,-111.84563999999999,0.34068699999999996,1101.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
33,115+04174,I-10,WESTBOUND,RIGGS RD/EXIT 167,AZ,PINAL,85121,33.1229,-111.84563999999999,33.21476,-111.9165,7.553616000000001,1102.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
34,115P04174,I-10,WESTBOUND,RIGGS RD/EXIT 167,AZ,MARICOPA,85226,33.21476,-111.9165,33.22229,-111.92232,0.619449,1103.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
35,115+04175,I-10,WESTBOUND,QUEEN CREEK RD/EXIT 164,AZ,MARICOPA,85226,33.22229,-111.92232,33.25112,-111.94458999999999,2.371108,1104.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
36,115P04175,I-10,WESTBOUND,QUEEN CREEK RD/EXIT 164,AZ,MARICOPA,85226,33.25112,-111.94458999999999,33.25985,-111.95135,0.718477,1105.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
37,115+04176,I-10,WESTBOUND,AZ-347/WILD HORSE PASS BLVD/EXIT 162,AZ,MARICOPA,85226,33.25985,-111.95135,33.2752,-111.96326,1.264032,1106.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
38,115P04176,I-10,WESTBOUND,AZ-347/WILD HORSE PASS BLVD/EXIT 162,AZ,MARICOPA,85226,33.2752,-111.96326,33.284240000000004,-111.96938,0.7190529999999999,1107.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
